1.wav,"this guy's reputation's a bit sketchy, bear it in mind"
2.wav,"the driver in front's not known for playing fair, be careful"
3.wav,"the guy in front's had a lot of incidents, give him a wide berth"
4.wav,"this guy's reputation's not great"
5.wav,"this guy's not got a good reputation, be a bit careful here"
6.wav,"the guy in front's reputation is not good, take care"
7.wav,"this guy's had a lot of incidents, bear it in mind"
8.wav,"the driver in front's reputation isn't great"
9.wav,"this guy's rep is below average, watch yourself"
10.wav,"the guys in front's a bit incident prone, be careful here"
