1.wav,"the guy behind's got a poor reputation, prepare for trouble"
2.wav,"the guy behind's really accident-prone, be careful here"
3.wav,"the driver behind's reputation is really bad, be careful"
4.wav,"watch your mirrors, this guy's had a lot of incidents"
5.wav,"the guy behind's got a bad rep"
6.wav,"the guy behind's got a bad reputation, take care"
7.wav,"the guy behind's really accident-prone, be careful"
8.wav,"the guy behind's not know for driving here, watch yourself here"
9.wav,"the guy behind's got a bad reputation"
10.wav,"the guy behind's had loads of incidents, be careful"
