1.wav,"the guy behind's a bit sketchy, watch your mirrors here"
2.wav,"watch your mirrors here, the guy behind's reputation's not great"
3.wav,"the guy behind's had a lot of incidents recently, bear it in mind"
4.wav,"the guy behind's not the cleanest racer, take care here"
5.wav,"the guy behind's reputation isn't great"
6.wav,"the guy behind's got a bit of a sketchy reputation, be careful"
7.wav,"the guy behind doesn't race very clean"
8.wav,"the guy behind's reputation isn't as good as it should be, take care"
9.wav,"the guy behind's had a few incidents recently"
10.wav,"the guy behind isn't the cleanest racer, watch yourself"
